date,time,type,signal,confidence,entry,sl,target,exit,outcome,sl_pts,tgt_pts,raw_pts,net_pts,pnl_spot,pnl_opt,rsi,orb_range,session,day
2026-05-08,13:30,VWAP,PE,NORMAL,24184.4,24204.4,24164.4,24164.4,TARGET,20.0,20.0,20.0,18.0,395.0,170.0,49.5,96.0,afternoon,Friday
2026-05-11,12:40,VWAP,CE,NORMAL,23950.35,23930.35,23970.35,23930.35,SL,20.0,20.0,-20.0,-22.0,-605.0,-330.0,57.3,123.0,midday,Monday
2026-05-13,11:35,VWAP,CE,NORMAL,23468.5,23448.5,23488.5,23488.5,TARGET,20.0,20.0,20.0,18.0,395.0,170.0,52.6,241.0,midday,Wednesday
2026-05-14,10:50,ORB,PE,HIGH,23473.0,23520.7,23415.76,23473.0,BE,47.7,57.2,0.0,-2.0,-105.0,-80.0,45.5,95.0,morning,Thursday
2026-05-29,11:10,VWAP,PE,NORMAL,23896.85,23916.85,23876.85,23876.85,TARGET,20.0,20.0,20.0,18.0,395.0,170.0,38.5,130.0,morning,Friday
2026-06-04,11:35,VWAP,CE,NORMAL,23445.7,23425.7,23465.7,23445.7,BE,20.0,20.0,0.0,-2.0,-105.0,-80.0,55.3,119.0,midday,Thursday
2026-06-04,12:55,VWAP,CE,NORMAL,23415.9,23395.9,23435.9,23395.9,SL,20.0,20.0,-20.0,-22.0,-605.0,-330.0,43.5,119.0,midday,Thursday
2026-06-05,11:20,ORB,PE,HIGH,23412.05,23450.57,23365.82,23413.7,TIMEOUT,38.5,46.2,-1.7,-3.7,-146.0,-101.0,41.2,77.0,morning,Friday
2026-06-09,11:25,ORB,PE,HIGH,23132.15,23164.43,23093.42,23164.43,SL,32.3,38.7,-32.3,-34.3,-912.0,-483.0,39.3,65.0,morning,Tuesday
2026-06-11,11:00,VWAP,CE,NORMAL,23179.25,23159.25,23199.25,23199.25,TARGET,20.0,20.0,20.0,18.0,395.0,170.0,56.9,77.0,morning,Thursday
2026-06-18,12:10,VWAP,PE,NORMAL,24088.2,24108.2,24068.2,24108.2,SL,20.0,20.0,-20.0,-22.0,-605.0,-330.0,52.5,74.0,midday,Thursday
2026-06-19,11:35,VWAP,PE,NORMAL,23954.95,23974.95,23934.95,23954.95,BE,20.0,20.0,0.0,-2.0,-105.0,-80.0,43.8,60.0,midday,Friday
2026-06-19,12:40,VWAP,PE,NORMAL,23951.95,23971.95,23931.95,23931.95,TARGET,20.0,20.0,20.0,18.0,395.0,170.0,44.2,60.0,midday,Friday
2026-06-25,11:25,ORB,CE,HIGH,24190.55,24159.6,24227.69,24227.69,TARGET,31.0,37.1,37.1,35.1,823.0,384.0,54.9,62.0,morning,Thursday
